"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","49779  >  60480 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000048","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000072","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.000392","127.0.0.1","127.0.0.1","TCP","65","60480  >  49779 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=21"
"5","0.000411","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=1 Ack=22 Win=2619648 Len=0"
"6","1.011829","127.0.0.1","127.0.0.1","TCP","47","49779  >  60480 [PSH, ACK] Seq=1 Ack=22 Win=2619648 Len=3"
"7","1.011860","127.0.0.1","127.0.0.1","TCP","44","60480  >  49779 [ACK] Seq=22 Ack=4 Win=2619648 Len=0"
"8","1.011990","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=22 Ack=4 Win=2619648 Len=12"
"9","1.012009","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=34 Win=2619648 Len=0"
"10","1.012028","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=34 Ack=4 Win=2619648 Len=12"
"11","1.012040","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=46 Win=2619648 Len=0"
"12","1.012054","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=46 Ack=4 Win=2619648 Len=12"
"13","1.012064","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=58 Win=2619648 Len=0"
"14","1.012077","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=58 Ack=4 Win=2619648 Len=12"
"15","1.012088","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=70 Win=2619648 Len=0"
"16","1.012101","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=70 Ack=4 Win=2619648 Len=12"
"17","1.012112","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=82 Win=2619648 Len=0"
"18","1.012124","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=82 Ack=4 Win=2619648 Len=12"
"19","1.012135","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=94 Win=2619648 Len=0"
"20","1.012148","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=94 Ack=4 Win=2619648 Len=12"
"21","1.012158","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=106 Win=2619648 Len=0"
"22","1.012171","127.0.0.1","127.0.0.1","TCP","56","60480  >  49779 [PSH, ACK] Seq=106 Ack=4 Win=2619648 Len=12"
"23","1.012181","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=118 Win=2619648 Len=0"
"24","1.012197","127.0.0.1","127.0.0.1","TCP","44","60480  >  49779 [FIN, ACK] Seq=118 Ack=4 Win=2619648 Len=0"
"25","1.012210","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [ACK] Seq=4 Ack=119 Win=2619648 Len=0"
"26","1.012401","127.0.0.1","127.0.0.1","TCP","44","49779  >  60480 [FIN, ACK] Seq=4 Ack=119 Win=2619648 Len=0"
"27","1.012418","127.0.0.1","127.0.0.1","TCP","44","60480  >  49779 [ACK] Seq=119 Ack=5 Win=2619648 Len=0"
