"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.001514","127.0.0.1","127.0.0.1","TCP","65","60480  >  49528 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=21"
"5","0.001537","127.0.0.1","127.0.0.1","TCP","44","49528  >  60480 [ACK] Seq=1 Ack=22 Win=2619648 Len=0"
"6","1.004166","127.0.0.1","127.0.0.1","TCP","47","49528  >  60480 [PSH, ACK] Seq=1 Ack=22 Win=2619648 Len=3"
"7","1.004225","127.0.0.1","127.0.0.1","TCP","44","60480  >  49528 [ACK] Seq=22 Ack=4 Win=2619648 Len=0"
"8","1.004939","127.0.0.1","127.0.0.1","TCP","56","60480  >  49528 [PSH, ACK] Seq=22 Ack=4 Win=2619648 Len=12"
"9","1.004991","127.0.0.1","127.0.0.1","TCP","44","49528  >  60480 [ACK] Seq=4 Ack=34 Win=2619648 Len=0"
"10","1.005042","127.0.0.1","127.0.0.1","TCP","44","60480  >  49528 [FIN, ACK] Seq=34 Ack=4 Win=2619648 Len=0"
"11","1.005082","127.0.0.1","127.0.0.1","TCP","44","49528  >  60480 [ACK] Seq=4 Ack=35 Win=2619648 Len=0"
