"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","49645  >  60480 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000050","127.0.0.1","127.0.0.1","TCP","56","60480  >  49645 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000085","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.000407","127.0.0.1","127.0.0.1","TCP","65","60480  >  49645 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=21"
"5","0.000423","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=1 Ack=22 Win=2619648 Len=0"
"6","1.012674","127.0.0.1","127.0.0.1","TCP","47","49645  >  60480 [PSH, ACK] Seq=1 Ack=22 Win=2619648 Len=3"
"7","1.012718","127.0.0.1","127.0.0.1","TCP","44","60480  >  49645 [ACK] Seq=22 Ack=4 Win=2619648 Len=0"
"8","1.012889","127.0.0.1","127.0.0.1","TCP","56","60480  >  49645 [PSH, ACK] Seq=22 Ack=4 Win=2619648 Len=12"
"9","1.012916","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=4 Ack=34 Win=2619648 Len=0"
"10","1.012950","127.0.0.1","127.0.0.1","TCP","56","60480  >  49645 [PSH, ACK] Seq=34 Ack=4 Win=2619648 Len=12"
"11","1.012967","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=4 Ack=46 Win=2619648 Len=0"
"12","1.012988","127.0.0.1","127.0.0.1","TCP","56","60480  >  49645 [PSH, ACK] Seq=46 Ack=4 Win=2619648 Len=12"
"13","1.013003","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=4 Ack=58 Win=2619648 Len=0"
"14","1.013024","127.0.0.1","127.0.0.1","TCP","44","60480  >  49645 [FIN, ACK] Seq=58 Ack=4 Win=2619648 Len=0"
"15","1.013043","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [ACK] Seq=4 Ack=59 Win=2619648 Len=0"
"16","1.013168","127.0.0.1","127.0.0.1","TCP","44","49645  >  60480 [FIN, ACK] Seq=4 Ack=59 Win=2619648 Len=0"
"17","1.013210","127.0.0.1","127.0.0.1","TCP","44","60480  >  49645 [ACK] Seq=59 Ack=5 Win=2619648 Len=0"
